User_ID,Name,Email,Phone
101,Alice,alice@example.com,+123456789012
102,Bob,bob@example.com,+123456789013
103,Charlie,charlie@example.com,+123456789014
104,David,david@example.com,+123456789015
105,Eve,eve@example.com,+123456789016
106,Frank,frank@example.com,
107,Greg,greg@example.com,+123456789018
108,Helen,helen@example.com,+123456789019
109,Ivy,ivy@example.com,+123456789020
110,Jack,jack@example.com,
111,Kate,kate@example.com,+123456789021
112,Luke,luke@example.com,+123456789022
113,Mary,mary@example.com,
114,Nick,nick@example.com,+123456789025
115,Olivia,olivia@example.com,+123456789026
